ensembl_gene_id	uniprot_gn_id	status
ENSG00000277484	E3NZD8	unreviewed
ENSG00000273775	Q6H2G3	unreviewed
ENSG00000273775	A0A0G2JM66	unreviewed
ENSG00000273526	A0A0G2JNE3	unreviewed
ENSG00000274782	A0A0G2JQ06	unreviewed
ENSG00000275416	P43630	reviewed
ENSG00000275416	A0A0G2JMS0	unreviewed
ENSG00000274955	A0A0G2JLM4	unreviewed
ENSG00000274955	A0A0G2JPS9	unreviewed
ENSG00000275172	A0A0G2JNI5	unreviewed
ENSG00000276395	P43632	reviewed
ENSG00000276395	A0A0C4ZN05	unreviewed
ENSG00000278850	Q6H2F6	unreviewed
ENSG00000278850	A0A0G2JLM7	unreviewed
ENSG00000273738	P24071	reviewed
ENSG00000273738	A0A024R4N4	unreviewed
ENSG00000273738	A0A024R4M5	unreviewed
ENSG00000273738	A0A024R4R4	unreviewed
ENSG00000276425	K7R1S5	unreviewed
ENSG00000273578	Q8N742	unreviewed
ENSG00000274786	A0A0G2JNI5	unreviewed
ENSG00000277355	A0A0G2JNE8	unreviewed
ENSG00000277355	Q86U48	unreviewed
ENSG00000274724	A0A0G2JM09	unreviewed
ENSG00000276379	A0A0G2JQ40	unreviewed
ENSG00000274556	A0A0G2JLZ2	unreviewed
ENSG00000276258	K7R1S5	unreviewed
ENSG00000276590	P43628	reviewed
ENSG00000276590	E3NZD8	unreviewed
ENSG00000275407	A0A0C4ZN23	unreviewed
ENSG00000275946	B0L653	unreviewed
ENSG00000275750	Q6H2H3	unreviewed
ENSG00000274830	P43628	reviewed
ENSG00000278805	Q6H2H2	unreviewed
ENSG00000273794	A0A0G2JQ05	unreviewed
ENSG00000274189	A0A0G2JN69	unreviewed
ENSG00000274189	K7RE46	unreviewed
ENSG00000276498	O43469	unreviewed
ENSG00000276498	A0A0G2JMV4	unreviewed
ENSG00000275513	A0A0C4ZR07	unreviewed
ENSG00000276329	Q5UCD8	unreviewed
ENSG00000275637	A0A0G2JMJ3	unreviewed
ENSG00000275637	A0A0G2JNH1	unreviewed
ENSG00000275637	A0A0G2JM44	unreviewed
ENSG00000275637	A0A0G2JN63	unreviewed
ENSG00000273575	A0A0B4J1S6	unreviewed
ENSG00000273575	E7EST5	unreviewed
ENSG00000273575	A0A0G2JMD1	unreviewed
ENSG00000273575	A0A376A929	unreviewed
ENSG00000273575	A0A0G2JQ39	unreviewed
ENSG00000274438	K7R1S5	unreviewed
ENSG00000275914	A0A0C4ZN23	unreviewed
ENSG00000276392	B0L652	unreviewed
ENSG00000275436	A0A330IXA5	unreviewed
ENSG00000277193	K7RE56	unreviewed
ENSG00000278758	A0A0G2JP93	unreviewed
ENSG00000278758	A0A0G2JM36	unreviewed
ENSG00000277272	Q6H2G3	unreviewed
ENSG00000277272	A0A0G2JM66	unreviewed
ENSG00000277657	K7QT50	unreviewed
ENSG00000278207	A0A0G2JQ35	unreviewed
ENSG00000277028	A0A0C4ZNX4	unreviewed
ENSG00000274948	Q5UCD9	unreviewed
ENSG00000276424	A0A0G2JPQ5	unreviewed
ENSG00000276424	A0A0G2JM59	unreviewed
ENSG00000281486	A0A0G2JR78	unreviewed
ENSG00000275848	K7QUT1	unreviewed
ENSG00000273887	P43628	reviewed
ENSG00000276433	A0A0C4ZR07	unreviewed
ENSG00000278495	A0A0G2JQ05	unreviewed
ENSG00000277552	A0A0C4ZR07	unreviewed
ENSG00000278152	K7R1S5	unreviewed
ENSG00000278152	A0A0G2JND2	unreviewed
ENSG00000274639	Q8N743	reviewed
ENSG00000277620	A0A0G2JN57	unreviewed
ENSG00000277885	P43631	reviewed
ENSG00000277885	K7R1S5	unreviewed
ENSG00000274920	Q8N152	unreviewed
ENSG00000274920	A0A0G2JN47	unreviewed
ENSG00000276011	P43627	reviewed
ENSG00000276011	A0A0C4ZN23	unreviewed
ENSG00000276004	P43630	reviewed
ENSG00000276004	A0A0U5FLC8	unreviewed
ENSG00000276004	A0A0G2JMI1	unreviewed
ENSG00000275937	Q8NHK3	reviewed
ENSG00000275937	A0A330IXA5	unreviewed
ENSG00000276084	A0A0C4ZQX3	unreviewed
ENSG00000278306	Q14952	reviewed
ENSG00000278306	K7QT50	unreviewed
ENSG00000274518	K7R1S5	unreviewed
ENSG00000276820	Q6H2H2	unreviewed
ENSG00000278731	A0A0C4ZN23	unreviewed
ENSG00000275732	A0A0G2JNE8	unreviewed
ENSG00000275732	Q86U48	unreviewed
ENSG00000275317	A0A0G2JQ13	unreviewed
ENSG00000275317	A0A0G2JNG7	unreviewed
ENSG00000276459	P43628	reviewed
ENSG00000276459	E3NZD8	unreviewed
ENSG00000278490	A0A0G2JM09	unreviewed
ENSG00000274947	P43632	reviewed
ENSG00000274947	A0A0C4ZN05	unreviewed
ENSG00000277616	E7BWR8	unreviewed
ENSG00000278248	Q6H2H3	unreviewed
ENSG00000278442	P43630	reviewed
ENSG00000278442	A0A0G2JMS0	unreviewed
ENSG00000274402	P43628	reviewed
ENSG00000274402	E3NZD8	unreviewed
ENSG00000273661	Q8N742	unreviewed
ENSG00000277833	Q6H2H3	unreviewed
ENSG00000276518	A0A0G2JN01	unreviewed
ENSG00000274945	A0A0G2JMQ9	unreviewed
ENSG00000274945	A0A0G2JNE8	unreviewed
ENSG00000274945	A0A0G2JNI1	unreviewed
ENSG00000274945	A0A0G2JN69	unreviewed
ENSG00000274945	K7RE46	unreviewed
ENSG00000274193	A0A0G2JNE8	unreviewed
ENSG00000274193	Q86U48	unreviewed
ENSG00000276139	K7R1S5	unreviewed
ENSG00000276139	A0A0G2JPR7	unreviewed
ENSG00000278369	A0A0G2JPP8	unreviewed
ENSG00000275546	A0A0C4ZN23	unreviewed
ENSG00000274480	A0A0G2JNJ1	unreviewed
ENSG00000275452	P43631	reviewed
ENSG00000275452	K7R1S5	unreviewed
ENSG00000275452	A0A0G2JND2	unreviewed
ENSG00000276501	Q5UCD8	unreviewed
ENSG00000278606	A0A0G2JMQ9	unreviewed
ENSG00000278606	A0A0G2JNI1	unreviewed
ENSG00000278606	A0A0G2JN69	unreviewed
ENSG00000278606	K7RE46	unreviewed
ENSG00000277076	K7QUT1	unreviewed
ENSG00000277076	A0A0G2JPN7	unreviewed
ENSG00000277076	A0A0G2JMV5	unreviewed
ENSG00000277076	A0A0G2JMF5	unreviewed
ENSG00000277076	A0A0G2JPE3	unreviewed
ENSG00000274465	O43469	unreviewed
ENSG00000274465	A0A0G2JMV4	unreviewed
ENSG00000275080	A0A0G2JPY8	unreviewed
ENSG00000278856	Q6H2G3	unreviewed
ENSG00000278856	A0A0G2JM66	unreviewed
ENSG00000275659	A0A0G2JNM4	unreviewed
ENSG00000275659	A0A0G2JN48	unreviewed
ENSG00000276534	O43469	unreviewed
ENSG00000275786	A0A0G2JLX2	unreviewed
ENSG00000275786	A0A0G2JMK7	unreviewed
ENSG00000275786	A0A0G2JPH7	unreviewed
ENSG00000275486	Q5UCD8	unreviewed
ENSG00000276044	A0A0B4J1S6	unreviewed
ENSG00000276044	E7EST5	unreviewed
ENSG00000276044	A0A0G2JLN0	unreviewed
ENSG00000276044	A0A376A929	unreviewed
ENSG00000277725	Q8N742	unreviewed
ENSG00000274610	A0A0G2JN09	unreviewed
ENSG00000275237	A0A0B4J1S6	unreviewed
ENSG00000275237	E7EST5	unreviewed
ENSG00000278116	B0L652	unreviewed
ENSG00000275500	K7RE56	unreviewed
ENSG00000276327	Q14954	reviewed
ENSG00000274676	A0A191URI1	unreviewed
ENSG00000276882	A0A0G2JP93	unreviewed
ENSG00000276882	A0A0G2JM36	unreviewed
ENSG00000276423	P43629	reviewed
ENSG00000276423	Q5UCE2	unreviewed
ENSG00000273735	A0A0G2JNA1	unreviewed
ENSG00000273735	A0A0G2JP59	unreviewed
ENSG00000275083	P43630	reviewed
ENSG00000275083	A0A0U1WNF3	unreviewed
ENSG00000274146	Q8N152	unreviewed
ENSG00000274146	A0A0G2JN47	unreviewed
ENSG00000278474	P43630	reviewed
ENSG00000278474	A0A0G2JMS0	unreviewed
ENSG00000276154	P43632	reviewed
ENSG00000276154	A0A0C4ZN05	unreviewed
ENSG00000276357	P43630	reviewed
ENSG00000276357	A0A0G2JMS0	unreviewed
ENSG00000274722	P43630	reviewed
ENSG00000274722	A0A0U1WNF3	unreviewed
ENSG00000276985	P24071	reviewed
ENSG00000276985	A0A024R4N4	unreviewed
ENSG00000276985	A0A024R4M5	unreviewed
ENSG00000276985	A0A024R4R4	unreviewed
ENSG00000276885	P43632	reviewed
ENSG00000276885	A0A0C4ZN05	unreviewed
ENSG00000276333	Q96QI5	reviewed
ENSG00000275629	A0A0G2JLX7	unreviewed
ENSG00000275629	Q8NHK6	unreviewed
ENSG00000276328	A0A0C4ZQX3	unreviewed
ENSG00000278656	Q9BQU0	unreviewed
ENSG00000278656	A0A0G2JPA6	unreviewed
ENSG00000275269	P24071	reviewed
ENSG00000275269	A0A024R4N4	unreviewed
ENSG00000275269	A0A024R4M5	unreviewed
ENSG00000275269	A0A024R4R4	unreviewed
ENSG00000277554	P43628	reviewed
ENSG00000277554	E3NZD8	unreviewed
ENSG00000275276	Q6H2H3	unreviewed
ENSG00000276930	A0A0B4J1R5	unreviewed
ENSG00000277392	A0A0C4ZQX3	unreviewed
ENSG00000275970	P24071	reviewed
ENSG00000275970	A0A024R4N4	unreviewed
ENSG00000275970	A0A024R4M5	unreviewed
ENSG00000275970	A0A024R4R4	unreviewed
ENSG00000275050	I3L137	unreviewed
ENSG00000275050	A0A0G2JMG9	unreviewed
ENSG00000275050	A0A0G2JQ71	unreviewed
ENSG00000278025	A0A0G2JMJ3	unreviewed
ENSG00000278025	A0A0G2JNH1	unreviewed
ENSG00000278025	A0A0G2JM44	unreviewed
ENSG00000278025	A0A0G2JN63	unreviewed
ENSG00000274108	P43628	reviewed
ENSG00000274108	E3NZD8	unreviewed
ENSG00000277317	P43628	reviewed
ENSG00000277317	E3NZD8	unreviewed
ENSG00000277356	Q6H2H3	unreviewed
ENSG00000278755	Q6H2H3	unreviewed
ENSG00000278091	Q03923	reviewed
ENSG00000278091	M0QZN6	unreviewed
ENSG00000278091	M0QZ75	unreviewed
ENSG00000278091	M0R0V3	unreviewed
ENSG00000278091	Q49A12	unreviewed
ENSG00000278091	M0R0J7	unreviewed
ENSG00000278091	Q96HE0	unreviewed
ENSG00000278091	M0QXL2	unreviewed
ENSG00000273518	Q6H2G1	unreviewed
ENSG00000273518	A0A0G2JM22	unreviewed
ENSG00000275699	A0A0B4J1S6	unreviewed
ENSG00000275699	E7EST5	unreviewed
ENSG00000275699	A0A0G2JLN0	unreviewed
ENSG00000275699	A0A376A929	unreviewed
ENSG00000277334	A0A0G2JMJ3	unreviewed
ENSG00000277334	A0A0G2JNH1	unreviewed
ENSG00000277334	A0A0G2JM44	unreviewed
ENSG00000277334	A0A0G2JN63	unreviewed
ENSG00000278780	M0QXG3	unreviewed
ENSG00000278780	A0A0G2JNR8	unreviewed
ENSG00000278780	A0A0G2JRS6	unreviewed
ENSG00000278368	Q8NHK7	unreviewed
ENSG00000278368	A0A0G2JPV6	unreviewed
ENSG00000276450	A0A0G2JM44	unreviewed
ENSG00000275288	P43629	reviewed
ENSG00000275288	Q5UCE2	unreviewed
ENSG00000278726	A0A0G2JLU7	unreviewed
ENSG00000278726	A0A0G2JN45	unreviewed
ENSG00000274406	P43632	reviewed
ENSG00000274406	A0A0C4ZN05	unreviewed
ENSG00000274394	A0A0C4ZR07	unreviewed
ENSG00000275262	A0A0G2JLZ4	unreviewed
ENSG00000275262	A0A0G2JP67	unreviewed
ENSG00000275737	K7R1S5	unreviewed
ENSG00000276731	A0A0C4ZN23	unreviewed
ENSG00000278710	A0A0G2JLX7	unreviewed
ENSG00000278710	Q8NHK6	unreviewed
ENSG00000278481	A0A330IXA5	unreviewed
ENSG00000277163	K7QT50	unreviewed
ENSG00000275522	Q6H2H2	unreviewed
ENSG00000275522	A0A0G2JND8	unreviewed
ENSG00000277540	A0A0G2JNE8	unreviewed
ENSG00000277540	A0A0G2JPG6	unreviewed
ENSG00000277540	A0A0G2JNK6	unreviewed
ENSG00000276858	P24071	reviewed
ENSG00000276858	A0A024R4N4	unreviewed
ENSG00000276858	A0A024R4M5	unreviewed
ENSG00000276858	A0A024R4R4	unreviewed
ENSG00000275037	Q4KN23	unreviewed
ENSG00000275037	O43469	unreviewed
ENSG00000275037	A0A0G2JN05	unreviewed
ENSG00000275037	A0A0G2JMV4	unreviewed
ENSG00000278788	Q9Y2G9	reviewed
ENSG00000278788	K7ES28	unreviewed
ENSG00000278788	K7ERL2	unreviewed
ENSG00000278788	K7ENA9	unreviewed
ENSG00000262826	A0A096LNW8	unreviewed
ENSG00000262826	A0A096LPB9	unreviewed
ENSG00000275521	A0A0G2JMJ3	unreviewed
ENSG00000275521	A0A0G2JNH1	unreviewed
ENSG00000275521	A0A0G2JM44	unreviewed
ENSG00000275521	A0A0G2JN63	unreviewed
ENSG00000276177	B0L652	unreviewed
ENSG00000278086	K7RE56	unreviewed
ENSG00000278403	A0A0G2JP93	unreviewed
ENSG00000278403	A0A0G2JM36	unreviewed
ENSG00000274891	Q53QD4	unreviewed
ENSG00000274891	A0A0J9YXQ9	unreviewed
ENSG00000274891	A0A0G2JQW1	unreviewed
ENSG00000263090	Q9BYQ4	reviewed
ENSG00000262749	Q9BYQ3	reviewed
ENSG00000262512	Q9BYQ2	reviewed
ENSG00000267635	A0A140TA67	unreviewed
ENSG00000280830	A0A0G2JQN5	unreviewed
ENSG00000262218	A8MX34	reviewed
ENSG00000263163	Q5K4L6	reviewed
ENSG00000263163	H0YDM5	unreviewed
ENSG00000263163	H0YDP0	unreviewed
ENSG00000263163	X6R3N0	unreviewed
ENSG00000261992	Q8WXI9	reviewed
ENSG00000277101	Q96DR7	reviewed
ENSG00000278817	X5D7D2	unreviewed
ENSG00000281763	A0A0G2JQU7	unreviewed
ENSG00000281763	A0A0G2JRP3	unreviewed
ENSG00000274429	Q8TDM6	reviewed
ENSG00000274429	R4GMQ2	unreviewed
ENSG00000274429	A0A0A0MSL1	unreviewed
ENSG00000281935	H0YGZ2	unreviewed
ENSG00000281935	F5H515	unreviewed
ENSG00000281935	A0A0J9YWH2	unreviewed
ENSG00000281935	A0A0J9YY17	unreviewed
ENSG00000275035	Q53HC0	reviewed
ENSG00000275035	F5H2Z7	unreviewed
ENSG00000275035	F5H7P8	unreviewed
ENSG00000275035	F5H285	unreviewed
ENSG00000275051	Q96J94	reviewed
ENSG00000275051	A0A024RBS5	unreviewed
ENSG00000275051	F5H3U6	unreviewed
ENSG00000275051	F5GYG0	unreviewed
ENSG00000275051	F5H2F7	unreviewed
ENSG00000275051	F5GZL9	unreviewed
ENSG00000275051	F5H889	unreviewed
ENSG00000274746	Q8IYN0	reviewed
ENSG00000274746	A0A0A0MTN5	unreviewed
ENSG00000274746	M0R071	unreviewed
ENSG00000274746	M0R0Q1	unreviewed
ENSG00000263243	Q99456	reviewed
ENSG00000263057	P35900	reviewed
ENSG00000263309	Q9C075	reviewed
ENSG00000263309	J3QR55	unreviewed
ENSG00000263309	K7EPI0	unreviewed
ENSG00000263309	Q9UFN7	unreviewed
ENSG00000263309	A0A024R1X9	unreviewed
ENSG00000262164	Q6A163	reviewed
ENSG00000262164	J3QRE9	unreviewed
ENSG00000262845	Q6A162	reviewed
ENSG00000262845	G3V1C2	unreviewed
ENSG00000263101	Q9BYR6	reviewed
ENSG00000263296	Q9BYR7	reviewed
ENSG00000262068	Q9BYR8	reviewed
ENSG00000261862	Q9BYS1	reviewed
ENSG00000263242	P0C5Y4	reviewed
ENSG00000262808	Q07627	reviewed
ENSG00000261852	Q9BYU5	reviewed
ENSG00000261852	F5H1T9	unreviewed
ENSG00000262862	P0C7H8	reviewed
ENSG00000263091	Q9BYR9	reviewed
ENSG00000266286	A0A140TA64	unreviewed
ENSG00000261968	A0A0G2JLE6	unreviewed
ENSG00000261968	A0A0G2JPP1	unreviewed
ENSG00000262520	G5E9R7	unreviewed
ENSG00000262121	A0A0G2JLF9	unreviewed
ENSG00000263229	Q9BYQ6	reviewed
ENSG00000263236	Q9BQ66	reviewed
ENSG00000275517	A0A0G2JR74	unreviewed
ENSG00000275517	A0A0G2JQ42	unreviewed
ENSG00000275517	A0A0G2JM13	unreviewed
ENSG00000275517	A0A0G2JRP6	unreviewed
ENSG00000275517	A0A0G2JMN8	unreviewed
ENSG00000274763	A0A0G2JPB3	unreviewed
ENSG00000274254	A0A0G2JN57	unreviewed
ENSG00000275623	P43628	reviewed
ENSG00000275623	E3NZD8	unreviewed
ENSG00000278821	Q6H2H3	unreviewed
ENSG00000275253	K7R1S5	unreviewed
ENSG00000277251	Q8N742	unreviewed
ENSG00000278430	A0A0G2JPS9	unreviewed
ENSG00000278430	A0A0G2JLM0	unreviewed
ENSG00000262573	A0A140TA58	unreviewed
ENSG00000262896	Q9BYQ2	reviewed
ENSG00000262594	Q9BYP9	reviewed
ENSG00000263263	A8MVA2	reviewed
ENSG00000262221	A8MTY7	reviewed
ENSG00000262542	A8MX34	reviewed
ENSG00000277175	A0A0G2JNU1	unreviewed
ENSG00000277175	C4N360	unreviewed
ENSG00000278427	A0A0G2JNU1	unreviewed
ENSG00000278427	C4N360	unreviewed
ENSG00000262191	A0A126GVB8	unreviewed
ENSG00000262647	Q8NGQ1	reviewed
ENSG00000274957	P43632	reviewed
ENSG00000274957	A0A0C4ZN05	unreviewed
ENSG00000278361	P43630	reviewed
ENSG00000278361	A0A0G2JMS0	unreviewed
ENSG00000275731	P43632	reviewed
ENSG00000275626	P43630	reviewed
ENSG00000275626	A0A0G2JMS0	unreviewed
ENSG00000276086	A0A0G2JM09	unreviewed
ENSG00000275735	K7R1S5	unreviewed
ENSG00000278692	Q8N742	unreviewed
ENSG00000278277	A0A0G2JN09	unreviewed
ENSG00000282752	K7EPW4	unreviewed
ENSG00000282752	A0A0J9YWB6	unreviewed
ENSG00000282752	A0A0J9YWJ4	unreviewed
ENSG00000273498	A0A0G2JNE8	unreviewed
ENSG00000273498	Q86U48	unreviewed
ENSG00000275608	O43469	unreviewed
ENSG00000275608	A0A0G2JMV4	unreviewed
ENSG00000275596	A0A191URI1	unreviewed
ENSG00000275511	A0A0G2JNN5	unreviewed
ENSG00000275511	A0A0G2JMA3	unreviewed
ENSG00000274382	A0A0G2JQ02	unreviewed
ENSG00000281020	A0A0G2JS85	unreviewed
ENSG00000262156	P31941	reviewed
ENSG00000262156	A0A0K0MJ49	unreviewed
ENSG00000277603	C9J511	unreviewed
ENSG00000277603	E9PFM6	unreviewed
ENSG00000277603	A0A0G2JR90	unreviewed
ENSG00000277603	A0A0G2JNN7	unreviewed
ENSG00000277603	A0A0G2JR31	unreviewed
ENSG00000277603	A0A0G2JR79	unreviewed
ENSG00000277603	A0A0G2JRZ1	unreviewed
ENSG00000277603	A0A0G2JP53	unreviewed
ENSG00000277603	A0A0G2JS21	unreviewed
ENSG00000280759	E9PPY8	unreviewed
ENSG00000280759	E9PS94	unreviewed
ENSG00000280759	E9PQP4	unreviewed
ENSG00000280759	E9PPZ3	unreviewed
ENSG00000280759	A0A0G2JRS3	unreviewed
ENSG00000282302	K7EMW8	unreviewed
ENSG00000277518	A0A0G2JNJ8	unreviewed
ENSG00000276595	Q3KNS1	reviewed
ENSG00000276595	A0A087WVH3	unreviewed
ENSG00000275326	A0A0G2JM79	unreviewed
ENSG00000275326	A0A0G2JPW3	unreviewed
ENSG00000275326	A0A0G2JNL9	unreviewed
ENSG00000280635	A0A0G2JRP7	unreviewed
ENSG00000277909	Q9HBM1	reviewed
ENSG00000277909	C9JW94	unreviewed
ENSG00000278373	Q9NQR9	reviewed
ENSG00000278373	C9IYU7	unreviewed
ENSG00000276582	Q53S60	unreviewed
ENSG00000281151	A0A0D9SFE0	unreviewed
ENSG00000281151	A0A0G2JSD3	unreviewed
ENSG00000281151	A0A0G2JS89	unreviewed
ENSG00000280618	A0A0G2JRX2	unreviewed
ENSG00000280618	A0A0G2JQT1	unreviewed
ENSG00000280618	A0A0G2JRF5	unreviewed
ENSG00000280618	A0A0G2JR96	unreviewed
ENSG00000280618	A0A0G2JRV9	unreviewed
ENSG00000277354	Q53TH9	unreviewed
ENSG00000277354	A0A0G2JN95	unreviewed
ENSG00000281690	A0A0G2JRM9	unreviewed
ENSG00000277069	Q9NSD7	reviewed
ENSG00000281919	A0A0G2JQI6	unreviewed
ENSG00000281919	A0A0G2JSC7	unreviewed
ENSG00000281919	A0A0G2JSD6	unreviewed
ENSG00000276856	A0A0G2JPW5	unreviewed
ENSG00000276856	A0A0G2JSA7	unreviewed
ENSG00000276856	A0A0G2JQX1	unreviewed
ENSG00000276856	A0A0G2JRG1	unreviewed
ENSG00000275062	A0A0G2JMQ2	unreviewed
ENSG00000278759	A0A0J9YWI5	unreviewed
ENSG00000278759	A0A0J9YXU4	unreviewed
ENSG00000278759	A0A0J9YVR1	unreviewed
ENSG00000278759	A0A0J9YVU1	unreviewed
ENSG00000278759	A0A0J9YY08	unreviewed
ENSG00000278759	A0A0J9YYG2	unreviewed
ENSG00000281775	A0A0G2JQF2	unreviewed
ENSG00000280807	A0A0G2JR45	unreviewed
ENSG00000275008	P43628	reviewed
ENSG00000275008	E3NZD8	unreviewed
ENSG00000274692	Q6H2H3	unreviewed
ENSG00000278201	A0A0G2JNE8	unreviewed
ENSG00000278201	Q86U48	unreviewed
ENSG00000278247	Q8N7Z2	reviewed
ENSG00000262634	Q96BD8	reviewed
ENSG00000262634	A0A024R294	unreviewed
ENSG00000262634	K7EP61	unreviewed
ENSG00000262634	K7EPW0	unreviewed
ENSG00000274404	A0A0G2JP21	unreviewed
ENSG00000274404	A0A0G2JRP8	unreviewed
ENSG00000262795	P38484	reviewed
ENSG00000262795	A0A0G2JLE8	unreviewed
ENSG00000274679	Q9H0A9	reviewed
ENSG00000277429	O75920	reviewed
ENSG00000277429	E5RHJ0	unreviewed
ENSG00000277429	E5RIQ9	unreviewed
ENSG00000277429	D6RC42	unreviewed
ENSG00000277429	D6RC90	unreviewed
ENSG00000277429	D6RCL9	unreviewed
ENSG00000262860	Q8ND56	reviewed
ENSG00000262860	I3L4Q1	unreviewed
ENSG00000262860	A0A140TA66	unreviewed
ENSG00000262860	A0A140TA76	unreviewed
ENSG00000262860	A0A0G2JQ95	unreviewed
ENSG00000276230	P13489	reviewed
ENSG00000276230	E9PLZ3	unreviewed
ENSG00000276230	H0YCR7	unreviewed
ENSG00000276230	E9PMA9	unreviewed
ENSG00000276230	E9PIM9	unreviewed
ENSG00000276230	E9PR82	unreviewed
ENSG00000276230	E9PMI1	unreviewed
ENSG00000276230	E9PMJ3	unreviewed
ENSG00000282152	A0A0J9YVY4	unreviewed
ENSG00000261846	Q6P093	reviewed
ENSG00000261846	F8WFE5	unreviewed
ENSG00000273772	Q16637	reviewed
ENSG00000273772	H0YBZ9	unreviewed
ENSG00000273772	E7EQZ4	unreviewed
ENSG00000273772	B4DP61	unreviewed
ENSG00000277033	Q67FW5	reviewed
ENSG00000277033	I3L1A1	unreviewed
ENSG00000277033	I3L4B6	unreviewed
ENSG00000277033	I3L232	unreviewed
ENSG00000276806	A0A0C4ZQX3	unreviewed
ENSG00000279389	K7EPA0	unreviewed
ENSG00000279389	A0A0G2JQ84	unreviewed
ENSG00000279389	A0A0G2JQ76	unreviewed
ENSG00000263160	P56557	reviewed
ENSG00000263160	F8WDH1	unreviewed
ENSG00000263160	C9K0I4	unreviewed
ENSG00000263160	F8WBF4	unreviewed
ENSG00000275009	Q8N7Z2	reviewed
ENSG00000273793	Q13202	reviewed
ENSG00000274283	O43469	unreviewed
ENSG00000274283	A0A0G2JMV4	unreviewed
ENSG00000262788	Q969X6	reviewed
ENSG00000262788	H3BRM8	unreviewed
ENSG00000281758	A0A0G2JRL8	unreviewed
ENSG00000278210	Q6L8H4	reviewed
ENSG00000278489	Q701N4	reviewed
ENSG00000277475	A0AVG0	unreviewed
ENSG00000275920	Q6L8H2	reviewed
ENSG00000277068	A0A087WWJ3	unreviewed
ENSG00000277068	A8MUN0	unreviewed
ENSG00000277291	Q701N2	reviewed
ENSG00000278728	Q9UHC6	reviewed
ENSG00000278165	Q13202	reviewed
ENSG00000263141	Q9Y5B6	reviewed
ENSG00000262911	Q9NX36	reviewed
ENSG00000280585	Q6L8H4	reviewed
ENSG00000281533	Q701N4	reviewed
ENSG00000275031	Q641Q3	reviewed
ENSG00000281191	Q6L8H2	reviewed
ENSG00000278620	Q6L8H1	reviewed
ENSG00000278620	A0A0G2JQ22	unreviewed
ENSG00000262473	P22102	reviewed
ENSG00000262473	A0A140TA71	unreviewed
ENSG00000262938	H7BYF8	unreviewed
ENSG00000275581	O75920	reviewed
ENSG00000275581	E5RHJ0	unreviewed
ENSG00000275581	E5RIQ9	unreviewed
ENSG00000275581	D6RC42	unreviewed
ENSG00000275581	D6RC90	unreviewed
ENSG00000275581	D6RCL9	unreviewed
ENSG00000278302	A0A0G2JS28	unreviewed
ENSG00000278302	A0A0G2JMZ9	unreviewed
ENSG00000276536	P01112	reviewed
ENSG00000276536	X5D945	unreviewed
ENSG00000276686	B0L652	unreviewed
ENSG00000275599	K7RE56	unreviewed
ENSG00000277389	Q6L8G9	reviewed
