ensembl_gene_id	uniprot_gn_id	N.gly	O.gly	signal.peptide
ENSG00000277554	E3NZD8	NA	NA	TRUE
ENSG00000275276	Q6H2H3	NA	NA	TRUE
ENSG00000276930	A0A0B4J1R5	NA	NA	TRUE
ENSG00000277392	A0A0C4ZQX3	NA	NA	TRUE
ENSG00000275970	P24071	5	0	TRUE
ENSG00000275970	A0A024R4N4	NA	NA	TRUE
ENSG00000275970	A0A024R4M5	NA	NA	TRUE
ENSG00000275970	A0A024R4R4	NA	NA	FALSE
ENSG00000275050	I3L137	NA	NA	FALSE
ENSG00000275050	A0A0G2JMG9	NA	NA	FALSE
ENSG00000275050	A0A0G2JQ71	NA	NA	FALSE
ENSG00000278025	A0A0G2JMJ3	NA	NA	TRUE
ENSG00000278025	A0A0G2JNH1	NA	NA	FALSE
ENSG00000278025	A0A0G2JM44	NA	NA	TRUE
ENSG00000278025	A0A0G2JN63	NA	NA	FALSE
ENSG00000274108	P43628	3	0	TRUE
ENSG00000274108	E3NZD8	NA	NA	TRUE
ENSG00000277317	P43628	3	0	TRUE
ENSG00000277317	E3NZD8	NA	NA	TRUE
ENSG00000277356	Q6H2H3	NA	NA	TRUE
ENSG00000278755	Q6H2H3	NA	NA	TRUE
ENSG00000278091	Q03923	NA	NA	FALSE
ENSG00000278091	M0QZN6	NA	NA	FALSE
ENSG00000278091	M0QZ75	NA	NA	FALSE
ENSG00000278091	M0R0V3	NA	NA	FALSE
ENSG00000278091	Q49A12	NA	NA	FALSE
ENSG00000278091	M0R0J7	NA	NA	FALSE
ENSG00000278091	Q96HE0	NA	NA	FALSE
ENSG00000278091	M0QXL2	NA	NA	FALSE
ENSG00000273518	Q6H2G1	NA	NA	TRUE
ENSG00000273518	A0A0G2JM22	NA	NA	TRUE
ENSG00000275699	A0A0B4J1S6	NA	NA	TRUE
ENSG00000275699	E7EST5	NA	NA	FALSE
ENSG00000275699	A0A0G2JLN0	NA	NA	TRUE
ENSG00000275699	A0A376A929	NA	NA	TRUE
ENSG00000277334	A0A0G2JMJ3	NA	NA	TRUE
ENSG00000277334	A0A0G2JNH1	NA	NA	FALSE
ENSG00000277334	A0A0G2JM44	NA	NA	TRUE
ENSG00000277334	A0A0G2JN63	NA	NA	FALSE
ENSG00000278780	M0QXG3	NA	NA	FALSE
ENSG00000278780	A0A0G2JNR8	NA	NA	FALSE
ENSG00000278780	A0A0G2JRS6	NA	NA	FALSE
ENSG00000278368	Q8NHK7	NA	NA	TRUE
ENSG00000278368	A0A0G2JPV6	NA	NA	TRUE
ENSG00000276450	A0A0G2JM44	NA	NA	TRUE
ENSG00000275288	P43629	3	0	TRUE
ENSG00000275288	Q5UCE2	NA	NA	TRUE
ENSG00000278726	A0A0G2JLU7	NA	NA	TRUE
ENSG00000278726	A0A0G2JN45	NA	NA	TRUE
ENSG00000274406	P43632	5	0	TRUE
ENSG00000274406	A0A0C4ZN05	NA	NA	TRUE
ENSG00000274394	A0A0C4ZR07	NA	NA	TRUE
ENSG00000275262	A0A0G2JLZ4	NA	NA	TRUE
ENSG00000275262	A0A0G2JP67	NA	NA	TRUE
ENSG00000275737	K7R1S5	NA	NA	TRUE
ENSG00000276731	A0A0C4ZN23	NA	NA	TRUE
ENSG00000278710	A0A0G2JLX7	NA	NA	TRUE
ENSG00000278710	Q8NHK6	NA	NA	TRUE
ENSG00000278481	A0A330IXA5	NA	NA	TRUE
ENSG00000277163	K7QT50	NA	NA	TRUE
ENSG00000275522	Q6H2H2	NA	NA	TRUE
ENSG00000275522	A0A0G2JND8	NA	NA	TRUE
ENSG00000277540	A0A0G2JNE8	NA	NA	TRUE
ENSG00000277540	A0A0G2JPG6	NA	NA	FALSE
ENSG00000277540	A0A0G2JNK6	NA	NA	TRUE
ENSG00000276858	P24071	5	0	TRUE
ENSG00000276858	A0A024R4N4	NA	NA	TRUE
ENSG00000276858	A0A024R4M5	NA	NA	TRUE
ENSG00000276858	A0A024R4R4	NA	NA	FALSE
ENSG00000275037	Q4KN23	NA	NA	FALSE
ENSG00000275037	O43469	NA	NA	TRUE
ENSG00000275037	A0A0G2JN05	NA	NA	TRUE
ENSG00000275037	A0A0G2JMV4	NA	NA	TRUE
ENSG00000278788	Q9Y2G9	NA	NA	FALSE
ENSG00000278788	K7ES28	NA	NA	FALSE
ENSG00000278788	K7ERL2	NA	NA	FALSE
ENSG00000278788	K7ENA9	NA	NA	FALSE
ENSG00000262826	A0A096LNW8	NA	NA	FALSE
ENSG00000262826	A0A096LPB9	NA	NA	FALSE
ENSG00000275521	A0A0G2JMJ3	NA	NA	TRUE
ENSG00000275521	A0A0G2JNH1	NA	NA	FALSE
ENSG00000275521	A0A0G2JM44	NA	NA	TRUE
ENSG00000275521	A0A0G2JN63	NA	NA	FALSE
ENSG00000276177	B0L652	NA	NA	TRUE
ENSG00000278086	K7RE56	NA	NA	TRUE
ENSG00000278403	A0A0G2JP93	NA	NA	TRUE
ENSG00000278403	A0A0G2JM36	NA	NA	TRUE
ENSG00000274891	Q53QD4	NA	NA	FALSE
ENSG00000274891	A0A0J9YXQ9	NA	NA	FALSE
ENSG00000274891	A0A0G2JQW1	NA	NA	FALSE
ENSG00000263090	Q9BYQ4	NA	NA	FALSE
ENSG00000262749	Q9BYQ3	NA	NA	FALSE
ENSG00000262512	Q9BYQ2	NA	NA	FALSE
ENSG00000267635	A0A140TA67	NA	NA	FALSE
ENSG00000280830	A0A0G2JQN5	NA	NA	FALSE
ENSG00000262218	A8MX34	NA	NA	FALSE
ENSG00000263163	Q5K4L6	NA	NA	FALSE
ENSG00000263163	H0YDM5	NA	NA	FALSE
ENSG00000263163	H0YDP0	NA	NA	FALSE
ENSG00000263163	X6R3N0	NA	NA	FALSE
ENSG00000261992	Q8WXI9	NA	NA	FALSE
ENSG00000277101	Q96DR7	NA	NA	FALSE
ENSG00000278817	X5D7D2	NA	NA	FALSE
ENSG00000281763	A0A0G2JQU7	NA	NA	FALSE
ENSG00000281763	A0A0G2JRP3	NA	NA	FALSE
ENSG00000274429	Q8TDM6	NA	NA	FALSE
ENSG00000274429	R4GMQ2	NA	NA	FALSE
ENSG00000274429	A0A0A0MSL1	NA	NA	FALSE
ENSG00000281935	H0YGZ2	NA	NA	FALSE
ENSG00000281935	F5H515	NA	NA	FALSE
ENSG00000281935	A0A0J9YWH2	NA	NA	FALSE
ENSG00000281935	A0A0J9YY17	NA	NA	FALSE
ENSG00000275035	Q53HC0	NA	NA	FALSE
ENSG00000275035	F5H2Z7	NA	NA	FALSE
ENSG00000275035	F5H7P8	NA	NA	FALSE
ENSG00000275035	F5H285	NA	NA	FALSE
ENSG00000275051	Q96J94	NA	NA	FALSE
ENSG00000275051	A0A024RBS5	NA	NA	FALSE
ENSG00000275051	F5H3U6	NA	NA	FALSE
ENSG00000275051	F5GYG0	NA	NA	FALSE
ENSG00000275051	F5H2F7	NA	NA	FALSE
ENSG00000275051	F5GZL9	NA	NA	FALSE
ENSG00000275051	F5H889	NA	NA	FALSE
ENSG00000274746	Q8IYN0	NA	NA	FALSE
ENSG00000274746	A0A0A0MTN5	NA	NA	FALSE
ENSG00000274746	M0R071	NA	NA	FALSE
ENSG00000274746	M0R0Q1	NA	NA	FALSE
ENSG00000263243	Q99456	NA	NA	FALSE
ENSG00000263057	P35900	NA	NA	FALSE
ENSG00000263309	Q9C075	NA	NA	FALSE
ENSG00000263309	J3QR55	NA	NA	FALSE
ENSG00000263309	K7EPI0	NA	NA	FALSE
ENSG00000263309	Q9UFN7	NA	NA	FALSE
ENSG00000263309	A0A024R1X9	NA	NA	FALSE
ENSG00000262164	Q6A163	NA	NA	FALSE
ENSG00000262164	J3QRE9	NA	NA	FALSE
ENSG00000262845	Q6A162	NA	NA	FALSE
ENSG00000262845	G3V1C2	NA	NA	FALSE
ENSG00000263101	Q9BYR6	NA	NA	FALSE
ENSG00000263296	Q9BYR7	NA	NA	FALSE
ENSG00000262068	Q9BYR8	NA	NA	FALSE
ENSG00000261862	Q9BYS1	NA	NA	FALSE
ENSG00000263242	P0C5Y4	NA	NA	FALSE
ENSG00000262808	Q07627	NA	NA	FALSE
ENSG00000261852	Q9BYU5	NA	NA	FALSE
ENSG00000261852	F5H1T9	NA	NA	FALSE
ENSG00000262862	P0C7H8	NA	NA	FALSE
ENSG00000263091	Q9BYR9	NA	NA	FALSE
ENSG00000266286	A0A140TA64	NA	NA	FALSE
ENSG00000261968	A0A0G2JLE6	NA	NA	FALSE
ENSG00000261968	A0A0G2JPP1	NA	NA	FALSE
ENSG00000262520	G5E9R7	NA	NA	FALSE
ENSG00000262121	A0A0G2JLF9	NA	NA	FALSE
ENSG00000263229	Q9BYQ6	NA	NA	FALSE
ENSG00000263236	Q9BQ66	NA	NA	FALSE
ENSG00000275517	A0A0G2JR74	NA	NA	TRUE
ENSG00000275517	A0A0G2JQ42	NA	NA	TRUE
ENSG00000275517	A0A0G2JM13	NA	NA	TRUE
ENSG00000275517	A0A0G2JRP6	NA	NA	TRUE
ENSG00000275517	A0A0G2JMN8	NA	NA	TRUE
ENSG00000274763	A0A0G2JPB3	NA	NA	TRUE
ENSG00000274254	A0A0G2JN57	NA	NA	TRUE
ENSG00000275623	P43628	3	0	TRUE
ENSG00000275623	E3NZD8	NA	NA	TRUE
ENSG00000278821	Q6H2H3	NA	NA	TRUE
ENSG00000275253	K7R1S5	NA	NA	TRUE
ENSG00000277251	Q8N742	NA	NA	TRUE
ENSG00000278430	A0A0G2JPS9	NA	NA	TRUE
ENSG00000278430	A0A0G2JLM0	NA	NA	TRUE
ENSG00000262573	A0A140TA58	NA	NA	FALSE
ENSG00000262896	Q9BYQ2	NA	NA	FALSE
ENSG00000262594	Q9BYP9	NA	NA	FALSE
ENSG00000263263	A8MVA2	NA	NA	FALSE
ENSG00000262221	A8MTY7	NA	NA	FALSE
ENSG00000262542	A8MX34	NA	NA	FALSE
ENSG00000277175	A0A0G2JNU1	NA	NA	TRUE
ENSG00000277175	C4N360	NA	NA	TRUE
ENSG00000278427	A0A0G2JNU1	NA	NA	TRUE
ENSG00000278427	C4N360	NA	NA	TRUE
ENSG00000262191	A0A126GVB8	NA	NA	FALSE
ENSG00000262647	Q8NGQ1	1	0	FALSE
ENSG00000274957	P43632	5	0	TRUE
ENSG00000274957	A0A0C4ZN05	NA	NA	TRUE
ENSG00000278361	P43630	4	0	TRUE
ENSG00000278361	A0A0G2JMS0	NA	NA	TRUE
ENSG00000275731	P43632	5	0	TRUE
ENSG00000275626	P43630	4	0	TRUE
ENSG00000275626	A0A0G2JMS0	NA	NA	TRUE
ENSG00000276086	A0A0G2JM09	NA	NA	TRUE
ENSG00000275735	K7R1S5	NA	NA	TRUE
ENSG00000278692	Q8N742	NA	NA	TRUE
ENSG00000278277	A0A0G2JN09	NA	NA	TRUE
ENSG00000282752	K7EPW4	NA	NA	FALSE
ENSG00000282752	A0A0J9YWB6	NA	NA	FALSE
ENSG00000282752	A0A0J9YWJ4	NA	NA	FALSE
ENSG00000273498	A0A0G2JNE8	NA	NA	TRUE
ENSG00000273498	Q86U48	NA	NA	TRUE
ENSG00000275608	O43469	NA	NA	TRUE
ENSG00000275608	A0A0G2JMV4	NA	NA	TRUE
ENSG00000275596	A0A191URI1	NA	NA	TRUE
ENSG00000275511	A0A0G2JNN5	NA	NA	TRUE
ENSG00000275511	A0A0G2JMA3	NA	NA	TRUE
ENSG00000274382	A0A0G2JQ02	NA	NA	FALSE
ENSG00000281020	A0A0G2JS85	NA	NA	FALSE
ENSG00000262156	P31941	NA	NA	FALSE
ENSG00000262156	A0A0K0MJ49	NA	NA	FALSE
ENSG00000277603	C9J511	NA	NA	TRUE
ENSG00000277603	E9PFM6	NA	NA	TRUE
ENSG00000277603	A0A0G2JR90	NA	NA	TRUE
ENSG00000277603	A0A0G2JNN7	NA	NA	TRUE
ENSG00000277603	A0A0G2JR31	NA	NA	TRUE
ENSG00000277603	A0A0G2JR79	NA	NA	FALSE
ENSG00000277603	A0A0G2JRZ1	NA	NA	TRUE
ENSG00000277603	A0A0G2JP53	NA	NA	TRUE
ENSG00000277603	A0A0G2JS21	NA	NA	FALSE
ENSG00000280759	E9PPY8	NA	NA	FALSE
ENSG00000280759	E9PS94	NA	NA	FALSE
ENSG00000280759	E9PQP4	NA	NA	FALSE
ENSG00000280759	E9PPZ3	NA	NA	FALSE
ENSG00000280759	A0A0G2JRS3	NA	NA	FALSE
ENSG00000282302	K7EMW8	NA	NA	FALSE
ENSG00000277518	A0A0G2JNJ8	NA	NA	TRUE
ENSG00000276595	Q3KNS1	3	0	FALSE
ENSG00000276595	A0A087WVH3	NA	NA	FALSE
ENSG00000275326	A0A0G2JM79	NA	NA	FALSE
ENSG00000275326	A0A0G2JPW3	NA	NA	FALSE
ENSG00000275326	A0A0G2JNL9	NA	NA	FALSE
ENSG00000280635	A0A0G2JRP7	NA	NA	FALSE
ENSG00000277909	Q9HBM1	NA	NA	FALSE
ENSG00000277909	C9JW94	NA	NA	FALSE
ENSG00000278373	Q9NQR9	1	0	FALSE
ENSG00000278373	C9IYU7	NA	NA	FALSE
ENSG00000276582	Q53S60	NA	NA	FALSE
ENSG00000281151	A0A0D9SFE0	NA	NA	FALSE
ENSG00000281151	A0A0G2JSD3	NA	NA	FALSE
ENSG00000281151	A0A0G2JS89	NA	NA	FALSE
ENSG00000280618	A0A0G2JRX2	NA	NA	FALSE
ENSG00000280618	A0A0G2JQT1	NA	NA	FALSE
ENSG00000280618	A0A0G2JRF5	NA	NA	FALSE
ENSG00000280618	A0A0G2JR96	NA	NA	FALSE
ENSG00000280618	A0A0G2JRV9	NA	NA	FALSE
ENSG00000277354	Q53TH9	NA	NA	TRUE
ENSG00000277354	A0A0G2JN95	NA	NA	FALSE
